atom_type,protein_count,ligand_count,total_occurrence,Unnamed: 0,sybyl_type,element,hybridization,hydrogens,total_neighbors,definition,local_reference_frame
C.et_2,11260,24423,35683,73,C.3,C,sp3,2,4,Ether C,Anisotropic
O.3ret_2,9398,26017,35415,157,O.3,O,sp3,0,2,Ether O in ring,Anisotropic
C.ar6o_2,9101,24878,33979,64,C.ar,C,sp2,1,3,Unsubstituted C in aromatic 6-ring (ortho relative to hetero-atom),Anisotropic
O.ke_1,17975,15377,33352,165,O.2,O,sp2,0,1,Ketone O,Anisotropic
C.3r6_2,3234,22026,25260,46,C.3,C,sp3,2,4,sp3 C in 6-membered ring,Anisotropic
N.4_3,20857,3346,24203,107,N.4,N,sp3,1,4,"Tertiary amine, charged",Axial
C.3r3x_3,23450,357,23807,33,C.3,C,sp3,1,4,sp3 C in 3-membered ring with hetero-atom neighbor,Axial
C.et_1,17196,6376,23572,72,C.3,C,sp3,3,4,Ether C,Axial
C.2c_2,12970,10020,22990,4,C.2,C,sp2,1,3,Secondary alkene,Anisotropic
C.es_3,18170,1895,20065,71,C.2,C,sp2,0,3,Ester C,Axial
O.es_1,15274,2636,17910,163,O.2,O,sp2,0,1,Carbonyl O in ester,Anisotropic
N.r6_3,12716,4994,17710,139,N.3,N,sp3,0,3,sp3 N in 6-membered ring,Axial
C.2r6_2,13214,4410,17624,14,C.2,C,sp2,1,3,Non-aromatic sp2 C in 6-membered ring,Anisotropic
N.3c_2,17420,195,17615,99,N.3,N,sp3,1,3,"Secondary amine, uncharged",Anisotropic
N.ar5p_3,4844,12732,17576,120,N.ar,N,sp2,0,3,"Substituted, charged N in 5-membered aromatic ring",Axial
N.mih_1,5079,12055,17134,131,N.am,N,sp2,"[1,2]","[2,3]",Primary amidine N,Anisotropic
C.3r6x_2,2147,14420,16567,49,C.3,C,sp3,2,4,sp3 C in 6-membered ring with hetero-atom neighbor,Anisotropic
C.ar6m_2,3588,12823,16411,62,C.ar,C,sp2,1,3,Unsubstituted C in aromatic 6-ring (meta relative to hetero-atom),Anisotropic
F_1,989,12341,13330,86,F,F,sp3,0,1,Fluoride group,Axial
N.3c_1,11780,95,11875,98,N.3,N,sp3,2,3,"Primary amine, uncharged",Axial
O.3es_2,8191,3679,11870,151,O.3,O,sp3,0,2,Ester alkoxy oxygen,Anisotropic
O.3eta_2,775,9796,10571,153,O.3,O,sp3,0,2,Ether O with aromatic ring as substituent,Anisotropic
N.mih_2,5523,4287,9810,132,N.am,N,sp2,"[0,1]","[2,3]",Secondary amidine N,Anisotropic
C.1_1,9549,172,9721,1,C.1,C,sp,1,2,Primary alkyne,Axial
N.im_2,1879,6489,8368,129,N.am,N,sp2,1,3,Secondary imide N,Anisotropic
Mg,8205,0,8205,90,Mg,Mg,/,/,/,Mg ion,Isotropic
